"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
266,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,532,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945123305,5842107945130038,5842107945210519,5842107945211195,80481
267,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,534,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945224110,5842107945230679,5842107945330040,5842107945330626,99361
268,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,536,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945344122,5842107945351320,5842107945431000,5842107945431641,79680
269,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,538,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945446219,5842107945455001,5842107945534361,5842107945535111,79360
270,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,540,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945548657,5842107945555481,5842107945653882,5842107945654532,98401
271,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,542,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945667807,5842107945674682,5842107945755163,5842107945755627,80481
272,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,544,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945769343,5842107945776283,5842107945856444,5842107945857023,80161
273,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,546,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945870048,5842107945877084,5842107945975645,5842107945976283,98561
274,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,548,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107945989709,5842107945996445,5842107946075646,5842107946076327,79201
275,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,550,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946089713,5842107946096446,5842107946195807,5842107946196499,99361
276,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,552,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946214454,5842107946222847,5842107946321088,5842107946321701,98241
277,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,554,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946335067,5842107946341568,5842107946439169,5842107946439729,97601
278,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,556,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946453516,5842107946460129,5842107946539169,5842107946539813,79040
279,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,558,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946554331,5842107946563010,5842107946662050,5842107946662800,99040
280,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,560,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946676547,5842107946683011,5842107946782691,5842107946783273,99680
281,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,562,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946796549,5842107946803172,5842107946902372,5842107946903075,99200
282,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,564,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107946916881,5842107946923653,5842107947022853,5842107947023477,99200
283,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,566,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947036773,5842107947043654,5842107947141094,5842107947141566,97440
284,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,568,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947154951,5842107947161735,5842107947260455,5842107947261026,98720
285,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,570,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947274553,5842107947281255,5842107947360616,5842107947361150,79361
286,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,572,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947375939,5842107947384456,5842107947482697,5842107947483306,98241
287,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,574,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947497574,5842107947504297,5842107947583658,5842107947584181,79361
288,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,576,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947597938,5842107947604778,5842107947703659,5842107947704263,98881
289,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,578,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947719262,5842107947727659,5842107947826060,5842107947826700,98401
290,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,580,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947840176,5842107947847020,5842107947926541,5842107947927344,79521
291,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,582,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107947940540,5842107947947501,5842107948045902,5842107948046505,98401
292,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,584,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948059880,5842107948066862,5842107948147183,5842107948147880,80321
293,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,586,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948161557,5842107948168303,5842107948266704,5842107948267291,98401
294,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,588,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948280637,5842107948287504,5842107948386224,5842107948386862,98720
295,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,590,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948400288,5842107948407025,5842107948486065,5842107948486565,79040
296,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,592,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948501344,5842107948510225,5842107948609266,5842107948609823,99041
297,"__omp_offloading_eeba6730_8301209d__Z6evolveR5FieldS0_ddPdS1__l31.kd",0,0,594,17398,17398,512000,256,0,0,24,0,48,64,"0x0","0x14d7786689c0",5842107948623229,5842107948629906,5842107948709107,5842107948709666,79201
