"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"__omp_offloading_eeba6730_6b01b365_main_l21.kd",1,248962,248962,86.20508168225982
"__omp_offloading_eeba6730_6b01b365_main_l10_cce$noloop$form.kd",1,39840,39840,13.794918317740182
